id,observed_on_string,image_url,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
25288933,Fri May 17 2019 20:04:30 GMT-0400 (EDT),https://static.inaturalist.org/photos/39152845/medium.jpg?1558137933,33.7779666667,-84.4395666667,oxeye daisy,Leucanthemum vulgare,oxeye daisy,Plantae,56057
25496856,Wed May 15 2019 08:57:47 GMT-0400 (EDT),https://static.inaturalist.org/photos/39499478/medium.jpg?1558441728,33.7757328619,-84.4407939167,Chinese parasol tree,Firmiana simplex,Chinese parasol tree,Plantae,162991
26458257,Wed Jun 05 2019 16:42:02 GMT-0400 (EDT),https://static.inaturalist.org/photos/41086428/medium.jpg?1559767393,33.7749487348,-84.4411099982,,Brassica rapa,field mustard,Plantae,53271
26458886,Wed Jun 05 2019 16:55:43 GMT-0400 (EDT),https://static.inaturalist.org/photos/41087645/medium.jpg?1559768233,33.7741348101,-84.4405189902,Eastern Ratsnake,Pantherophis alleghaniensis,Eastern Ratsnake,Reptilia,59644
27442440,2019-06-22 10:22:24 AM EDT,https://static.inaturalist.org/photos/42699330/medium.jpeg?1561221485,33.77654699,-84.43646505,Indian-shot,Canna indica,Indian-shot,Plantae,146643
27442471,2019-06-22 10:25:29 AM EDT,https://static.inaturalist.org/photos/42699370/medium.jpeg?1561221507,33.77645071,-84.43652567,Ray-finned Fishes,Actinopterygii,Ray-finned Fishes,Actinopterygii,47178
27442497,2019-06-22 11:01:35 AM EDT,https://static.inaturalist.org/photos/42699389/medium.jpeg?1561221518,33.77665181,-84.43602195,Red Shiner,Cyprinella lutrensis,Red Shiner,Actinopterygii,98905
27442509,2019-06-22 11:03:11 AM EDT,https://static.inaturalist.org/photos/42699405/medium.jpeg?1561221530,33.77663011,-84.43600574,Roughbelly Darters,Percina,Roughbelly Darters,Actinopterygii,58628
27442518,2019-06-22 11:50:11 AM EDT,https://static.inaturalist.org/photos/42699420/medium.jpeg?1561221539,33.77664933,-84.43358757,White Crappie,Pomoxis annularis,White Crappie,Actinopterygii,49593
27442532,2019-06-22 11:55:41 AM EDT,https://static.inaturalist.org/photos/42699445/medium.jpeg?1561221552,33.77672853,-84.4335713,Bluegill,Lepomis macrochirus,Bluegill,Actinopterygii,49591
27469516,Sat Jun 22 2019 12:18:34 GMT-0400 (EDT),https://static.inaturalist.org/photos/42743278/medium.jpg?1561246510,33.77667,-84.4334333333,Bluegill,Lepomis macrochirus,Bluegill,Actinopterygii,49591
27469689,Sat Jun 22 2019 11:07:38 GMT-0400 (EDT),https://static.inaturalist.org/photos/42743640/medium.jpg?1561246702,33.7766533333,-84.43602,Etheostoma nigrofasciata,Etheostoma,,Actinopterygii,58632
27470012,Sat Jun 22 2019 11:53:47 GMT-0400 (EDT),https://static.inaturalist.org/photos/42744147/medium.jpg?1561247004,33.7767333333,-84.4335416667,Black Crappie,Pomoxis nigromaculatus,Black Crappie,Actinopterygii,49594
29973686,Thu Aug 01 2019 08:37:09 GMT-0400 (EDT),https://static.inaturalist.org/photos/47011809/medium.jpg?1564842858,33.7767099403,-84.4374108967,,Anisota senatoria,Orange-tipped Oakworm Moth,Insecta,81583
29979330,Thu Aug 01 2019 10:21:56 GMT-0400 (EDT),https://static.inaturalist.org/photos/46815831/medium.jpg?1564669620,33.7745699721,-84.4415670718,trifoliate orange,Citrus trifoliata,trifoliate orange,Plantae,200071
29981801,2019-08-01 10:31:27 AM EDT,https://static.inaturalist.org/photos/46819083/medium.jpeg?1564671928,33.7756004333,-84.4406967163,Black Giant Ichneumonid Wasp,Megarhyssa atrata,Black Giant Ichneumonid Wasp,Insecta,47941
30829005,2019-08-14 3:41:07 PM EDT,https://static.inaturalist.org/photos/48189321/medium.jpeg?1565811732,33.774068,-84.4455154,Hackberry Emperor,Asterocampa celtis,Hackberry Emperor,Insecta,68264
31442249,Sat Aug 24 2019 10:06:01 GMT-0400 (EDT),https://static.inaturalist.org/photos/49207781/medium.jpg?1566691100,33.7839485938,-84.4447267894,,,,,
31442270,Sat Aug 24 2019 10:07:12 GMT-0400 (EDT),https://static.inaturalist.org/photos/49207823/medium.jpg?1566691130,33.7835403532,-84.444878921,American pokeweed,Phytolacca americana,American pokeweed,Plantae,48599
31442283,Sat Aug 24 2019 10:11:06 GMT-0400 (EDT),https://static.inaturalist.org/photos/49207850/medium.jpg?1566691149,33.7809524825,-84.4441695605,common hibiscus,Hibiscus syriacus,common hibiscus,Plantae,126585
31442302,Sat Aug 24 2019 10:11:42 GMT-0400 (EDT),https://static.inaturalist.org/photos/49207893/medium.jpg?1566691173,33.7807781808,-84.4441652019,common hibiscus,Hibiscus syriacus,common hibiscus,Plantae,126585
